Country,ObservatoryID,UnitID,Latitude,Longitude,Depth_min,Depth_max,Field Replicates,Monitoring area,Habitat keywords,IUCN habitat type,Description,Notes,env broad scale,env local scale,env medium scale,add info,MarineRegion_larger,MarineRegion_smaller
BEL,BelgiumCoast,AZBE1,51.364298,3.20701,7,7,none,Marina,semi-industrial,"12.2 - Sandy Shoreline and/or Beaches, Sand Bars, Spits, etc.  ","ARMS was deployed near marina of Zeebrugge, ARMS attached to tripod, retrieved with acoustic release (no cover crate). Substrate was fine sand-silt (soft-bottom). Very fine silt made filtrations heavy.  ",,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; silty sediment [ENVO:01000119],sand and silt,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),Spz3 / Zps3 (http://marineregions.org/mrgid/28748)
BEL,BelgiumCoast,AZFPin,51.66522,2.82558,37.5,37.5,none,Wind farm,LHI (Low human influence),9.5 - Subtidal Sandy-Mud  ,"Inside a windmill park. ARMS was deployed on a Acoustic Zooplankton Fish Profiler (AZFP's). As we were unable to dive, we undoubtedly lost most of the motile fraction. Still, many motile specimens were recorded (albeit in a rather low species diversity at first sight). The AZFP frame itself was also heavily occupied with motile and sessile organisms.",,marine benthic biome [ENVO_01000024]; power plant [ENVO:00002214],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; silty sediment [ENVO:01000119],sand and silt,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),Belgian 24NM (http://marineregions.org/mrgid/49243)
DNK,Laeso,Laeso1,57.25689,11.14193,10,10,Laeso,LTER site,LHI (Low human influence),9.2 - Subtidal Rock and Rocky Reefs,"The Danish EPA decided to make a large-scale restoration project to restore the stone reef on Læsø Trindel, which is a part of the Læsø Trindel and Tønnesberg Banke Natura 2000 site. The project was entitled BlueReef. The purpose of the BlueReef project was to restore and stabilise the structure and function of cavernous boulder reefs within an area of approx. 5ha, as well as to boost awareness among managers, planners and the general public about marine nature restoration, protection and management. Approximately 100.000 tons of rock was added to an existing old reef in 2007. Since then the reef has been monitored annually for both benthic and pelagic (fish and sea mamals) species. The ARMS systems will provide us with an opportunity to compare the traditional type of detailed data with valuable DNA based biodiversity information.  ", ,marine benthic biome [ENVO_01000024],marine subtidal rocky reef biome [ENVO:01000050],boulders [ENVO:01000243]; rocky reef [ENVO:00000130],boulders reef,"Læsø, Sydlige del (http://marineregions.org/mrgid/27388)",
DNK,Laeso,Laeso2,57.25692,11.14197,10,10,Laeso,LTER site,LHI (Low human influence),9.2 - Subtidal Rock and Rocky Reefs,"The Danish EPA decided to make a large-scale restoration project to restore the stone reef on Læsø Trindel, which is a part of the Læsø Trindel and Tønnesberg Banke Natura 2000 site. The project was entitled BlueReef. The purpose of the BlueReef project was to restore and stabilise the structure and function of cavernous boulder reefs within an area of approx. 5ha, as well as to boost awareness among managers, planners and the general public about marine nature restoration, protection and management. Approximately 100.000 tons of rock was added to an existing old reef in 2007. Since then the reef has been monitored annually for both benthic and pelagic (fish and sea mamals) species. The ARMS systems will provide us with an opportunity to compare the traditional type of detailed data with valuable DNA based biodiversity information.  ", ,marine benthic biome [ENVO_01000024],marine subtidal rocky reef biome [ENVO:01000050],boulders [ENVO:01000243]; rocky reef [ENVO:00000130],boulders reef,"Læsø, Sydlige del (http://marineregions.org/mrgid/27388)",
DNK,Laeso,Laeso3,57.25692,11.14199,10,10,Laeso,LTER site,LHI (Low human influence),9.2 - Subtidal Rock and Rocky Reefs,"The Danish EPA decided to make a large-scale restoration project to restore the stone reef on Læsø Trindel, which is a part of the Læsø Trindel and Tønnesberg Banke Natura 2000 site. The project was entitled BlueReef. The purpose of the BlueReef project was to restore and stabilise the structure and function of cavernous boulder reefs within an area of approx. 5ha, as well as to boost awareness among managers, planners and the general public about marine nature restoration, protection and management. Approximately 100.000 tons of rock was added to an existing old reef in 2007. Since then the reef has been monitored annually for both benthic and pelagic (fish and sea mamals) species. The ARMS systems will provide us with an opportunity to compare the traditional type of detailed data with valuable DNA based biodiversity information.  ", ,marine benthic biome [ENVO_01000024],marine subtidal rocky reef biome [ENVO:01000050],boulders [ENVO:01000243]; rocky reef [ENVO:00000130],boulders reef,"Læsø, Sydlige del (http://marineregions.org/mrgid/27388)",
DNK,Limfjord,Green33,56.90155,9.05516667,4,4,Limfjord,LTER site,LHI (Low human influence),13.4 - Coastal Brackish/Saline Lagoons/Marine Lakes  ,"We are investigating the possibility of improving water quality and biodiversity by reintroducing stone reefs into Limfjorden. In spring of 2017 three elongated reefs were established just west of the Island Livø in the central part of Limfjorden. We are monitoring the effects on water movements, temperature and oxygen conditions as well as water clarity and nutrient levels. Also we have been monitoring the settlement of benthic organisms and will in early june 2019 conduct a thorough benthic biodiversity assessment of the reef. Our intention is to compare the ARMS based biodiversity with the more traditional monitoring.  ",,marine benthic biome [ENVO_01000024],marine subtidal rocky reef biome [ENVO:01000050],boulders [ENVO:01000243]; rocky reef [ENVO:00000130],boulders reef,42F9 (http://marineregions.org/mrgid/40806),"Løgstør Bredning, Vejlerne Og Bulbjerg (http://marineregions.org/mrgid/27478)"
DNK,Limfjord,Red2,56.89985,9.05663333,4,4,Limfjord,LTER site,LHI (Low human influence),13.4 - Coastal Brackish/Saline Lagoons/Marine Lakes  ,"We are investigating the possibility of improving water quality and biodiversity by reintroducing stone reefs into Limfjorden. In spring of 2017 three elongated reefs were established just west of the Island Livø in the central part of Limfjorden. We are monitoring the effects on water movements, temperature and oxygen conditions as well as water clarity and nutrient levels. Also we have been monitoring the settlement of benthic organisms and will in early june 2019 conduct a thorough benthic biodiversity assessment of the reef. Our intention is to compare the ARMS based biodiversity with the more traditional monitoring.  ",,marine benthic biome [ENVO_01000024],marine subtidal rocky reef biome [ENVO:01000050],boulders [ENVO:01000243]; rocky reef [ENVO:00000130],boulders reef,42F9 (http://marineregions.org/mrgid/40806),"Løgstør Bredning, Vejlerne Og Bulbjerg (http://marineregions.org/mrgid/27478)"
DNK,Limfjord,Yellow8,56.90131667,9.05733333,3.5,3.5,Limfjord,LTER site,LHI (Low human influence),13.4 - Coastal Brackish/Saline Lagoons/Marine Lakes  ,"We are investigating the possibility of improving water quality and biodiversity by reintroducing stone reefs into Limfjorden. In spring of 2017 three elongated reefs were established just west of the Island Livø in the central part of Limfjorden. We are monitoring the effects on water movements, temperature and oxygen conditions as well as water clarity and nutrient levels. Also we have been monitoring the settlement of benthic organisms and will in early june 2019 conduct a thorough benthic biodiversity assessment of the reef. Our intention is to compare the ARMS based biodiversity with the more traditional monitoring.  ",,marine benthic biome [ENVO_01000024],marine subtidal rocky reef biome [ENVO:01000050],boulders [ENVO:01000243]; rocky reef [ENVO:00000130],boulders reef,42F9 (http://marineregions.org/mrgid/40806),"Løgstør Bredning, Vejlerne Og Bulbjerg (http://marineregions.org/mrgid/27478)"
ESP,Getxo,G1,43.338452,-3.014833,5,10,Getxo,Marina,semi-industrial,15.11 - Marine Anthropogenic Structures  ,"Marina (Site located on the dock of a marina in transitional waters, 31-34 psu, in right bank within the outer section of the estuary of Bilbao, with the commercial superport of Bilbao in the left banks)  ",,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],muddy soil [ENVO:00005771],Oyster beds on shallow sublittoral muddy mixed sediment,Abra de Bilbao (http://marineregions.org/mrgid/17355),
ESP,Getxo,G2,43.3385,-3.01491,5,10,Getxo,Marina,semi-industrial,15.11 - Marine Anthropogenic Structures  ,"Marina (Site located on the dock of a marina in transitional waters, 31-34 psu, in right bank within the outer section of the estuary of Bilbao, with the commercial superport of Bilbao in the left banks)  ",,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],muddy soil [ENVO:00005771],Oyster beds on shallow sublittoral muddy mixed sediment,Abra de Bilbao (http://marineregions.org/mrgid/17355),
ESP,Getxo,G3,43.33843,-3.01483,5,10,Getxo,Marina,semi-industrial,15.11 - Marine Anthropogenic Structures  ,"Marina (Site located on the dock of a marina in transitional waters, 31-34 psu, in right bank within the outer section of the estuary of Bilbao, with the commercial superport of Bilbao in the left banks)  ",,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],muddy soil [ENVO:00005771],Oyster beds on shallow sublittoral muddy mixed sediment,Abra de Bilbao (http://marineregions.org/mrgid/17355),
ESP,Vigo,TorallaA,42.2284,-8.7787,12,12,Toralla,Industrial port,industrial,9.4 - Subtidal Sandy  ,"Toralla is a Island located at NW Iberia, inside of Ría de Vigo, a a semi-enclosed heavily populated bay. Besides the proximity of busy ports and the combined effect of population and urban activities which lead to sediment modification, this area includes both hard and soft substrata, which have a high primary productivity due to the influence of coastal upwelling-downwelling dynamics.  ",,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118],sandy  ,13E1 (http://marineregions.org/mrgid/40020),
ESP,Vigo,TorallaB,42.2284,-8.7787,12,12,Toralla,Industrial port,industrial,9.4 - Subtidal Sandy  ,"Toralla is a Island located at NW Iberia, inside of Ría de Vigo, a a semi-enclosed heavily populated bay. Besides the proximity of busy ports and the combined effect of population and urban activities which lead to sediment modification, this area includes both hard and soft substrata, which have a high primary productivity due to the influence of coastal upwelling-downwelling dynamics.  ",,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118],sandy  ,13E1 (http://marineregions.org/mrgid/40020),
ESP,Vigo,TorallaC,42.2284,-8.7787,12,12,Toralla,Industrial port,industrial,9.4 - Subtidal Sandy  ,"Toralla is a Island located at NW Iberia, inside of Ría de Vigo, a a semi-enclosed heavily populated bay. Besides the proximity of busy ports and the combined effect of population and urban activities which lead to sediment modification, this area includes both hard and soft substrata, which have a high primary productivity due to the influence of coastal upwelling-downwelling dynamics.  ",,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118],sandy  ,13E1 (http://marineregions.org/mrgid/40020),
FIN,TZS,Angbat,59.841505,23.248879,4,4,none,MPA; LTER site; continuous hydrographic monitoring,LHI (Low human influence),9.3 - Subtidal Loose Rock/Pebble/Gravel  ,Angbatsbryggan is a vegetated habitat comprised of mixed macrophyte scpecies (mixed meadow) on sand bottom.,,marine benthic biome [ENVO_01000024]; marine park area [ENVO:00000362],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118],vegetated habitat comprised of mixed macrophyte scpecies (mixed meadow) on sand bottom.,Tammisaaren Ja Hangon Saariston Ja Pohjanpitäjänlahden Merensuojelualue (http://marineregions.org/mrgid/27436),
FIN,TZS,Spikarna,59.81094,23.206216,3,3,none,MPA; LTER site,LHI (Low human influence),9.4 - Subtidal Sandy  ,"Spikarna is a group of small islands and sublittoral reefs with a fragmented distribution of mussel beds interspersed by pockets of sand fields, stones and gravel. A canopy-forming bladder-wrack belt on a hard-bottom habitat.",,marine benthic biome [ENVO_01000024]; marine park area [ENVO:00000362],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118],sandy and seagrass,Tammisaaren Ja Hangon Saariston Ja Pohjanpitäjänlahden Merensuojelualue (http://marineregions.org/mrgid/27436),
FRA,Roscoff,BasBloS1,48.72872,-3.95894,12,12,BasBloS,MPA,protected,9.2 - Subtidal Rock and Rocky Reefs  ,Marine protected area,,marine benthic biome [ENVO_01000024]; marine park area [ENVO:00000362],marine subtidal rocky reef biome [ENVO:01000050],rocky reef [ENVO:00000130],rocky reef,Bay of Morlaix (http://marineregions.org/mrgid/5216),
FRA,Roscoff,BasBloS2,48.72872,-3.95894,12,12,BasBloS,MPA,protected,9.2 - Subtidal Rock and Rocky Reefs  ,Marine protected area,,marine benthic biome [ENVO_01000024]; marine park area [ENVO:00000362],marine subtidal rocky reef biome [ENVO:01000050],rocky reef [ENVO:00000130],rocky reef,Bay of Morlaix (http://marineregions.org/mrgid/5216),
FRA,Roscoff,BasBloS3,48.72872,-3.95894,12,12,BasBloS,MPA,protected,9.2 - Subtidal Rock and Rocky Reefs  ,Marine protected area,,marine benthic biome [ENVO_01000024]; marine park area [ENVO:00000362],marine subtidal rocky reef biome [ENVO:01000050],rocky reef [ENVO:00000130],rocky reef,Bay of Morlaix (http://marineregions.org/mrgid/5216),
FRA,Roscoff,MarBloR1,48.71751,-3.96649,1,1,MarBloR,Marina,semi-industrial,9.2 - Subtidal Rock and Rocky Reefs,Marina,,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine subtidal rocky reef biome [ENVO:01000050],rocky reef [ENVO:00000130],,Penzé Estuary (http://marineregions.org/mrgid/17786),
FRA,Roscoff,MarBloR2,48.71751,-3.96649,1,1,MarBloR,Marina,semi-industrial,9.2 - Subtidal Rock and Rocky Reefs,Marina,,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine subtidal rocky reef biome [ENVO:01000050],rocky reef [ENVO:00000130],,Penzé Estuary (http://marineregions.org/mrgid/17786),
FRA,Roscoff,MarBloR3,48.71751,-3.96649,1,1,MarBloR,Marina,semi-industrial,9.2 - Subtidal Rock and Rocky Reefs,Marina,,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine subtidal rocky reef biome [ENVO:01000050],rocky reef [ENVO:00000130],,Penzé Estuary (http://marineregions.org/mrgid/17786),
GBR,Plymouth,MBA1,50.3674,-4.1552,1,1,MBA ,Marina,semi-industrial,9.5 - Subtidal Sandy-Mud  ,"King Point Marina, ARMS was suspended below pontoon  ",,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine subtidal rocky reef biome [ENVO:01000050],saline water [ENVO:00002010],ARMS was suspended below pontoon,Plymouth Sound (http://marineregions.org/mrgid/24206),
GBR,Plymouth,MBA1A,50.3673,-4.1554,2,2,MBA1,Marina,semi-industrial,9.5 - Subtidal Sandy-Mud  ,"King Point Marina, ARMS was suspended below pontoon  ",,"marine benthic biome [ENVO_01000024], harbor [ENVO:00000463]",marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; muddy soil [ENVO:00005771],sand and mud,Plymouth Sound (http://marineregions.org/mrgid/24206),
GBR,Plymouth,MBA1B,50.3668,-4.1561,2,2,MBA1,Marina,semi-industrial,9.5 - Subtidal Sandy-Mud  ,"King Point Marina, ARMS was suspended below pontoon  ",,"marine benthic biome [ENVO_01000024], harbor [ENVO:00000463]",marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; muddy soil [ENVO:00005771],sand and mud,Plymouth Sound (http://marineregions.org/mrgid/24206),
GBR,Plymouth,MBA1C,50.3674,-4.1544,2,2,MBA1,Marina,semi-industrial,9.5 - Subtidal Sandy-Mud  ,"King Point Marina, ARMS was suspended below pontoon  ",,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; muddy soil [ENVO:00005771],sand and mud,Plymouth Sound (http://marineregions.org/mrgid/24206),
GBR,Plymouth,MBA2,50.350134,-4.159167,10.1,10.1,MBA,Marina,semi-industrial,9.5 - Subtidal Sandy-Mud  ,"King Point Marina, ARMS was suspended below pontoon  ",,"marine benthic biome [ENVO_01000024], harbor [ENVO:00000463]",marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; muddy soil [ENVO:00005771],,Plymouth Sound (http://marineregions.org/mrgid/24206),
GRC,Crete,1HERP,35.343153,25.136605,4,4,none,Marina/Harbour,semi-industrial,9.6 - Subtidal Muddy  ,Soft (muddy) seabed in the Old Venetian Harbour (marina) of Heraklion.  ,,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine reef biome [ENVO:01000029],muddy soil [ENVO:00005771],soft muddy seabed,Crete Island (http://marineregions.org/mrgid/48617),
GRC,Crete,2UBPC,35.34662,25.27876,21,21,none,UBP,semi-industrial,9.4 - Subtidal Sandy  ,Sandy seabed in the Underwater Biotechnological Park of Crete (http://ubpcrete.hcmr.gr/) in the open sea (1.5 km off the HCMR facilities).  ,,marine benthic biome [ENVO_01000024],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118],sand,Crete Island (http://marineregions.org/mrgid/48617),
ISR,Eilat,Katza1,29.52,34.934444,10,10,none,Industrial port,industrial,9.8 - Coral Reef  ,"Fringing reef, sand areas with coral knolls, and segmented reef patches.  ",These sites are at the same place so they are field replicates although the retrieval times are all different so they are also not replicates,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine coral reef biome [ENVO:01000049],coral reef [ENVO:00000150],coral reef,Gulf of Aqaba (http://marineregions.org/mrgid/4263),Israeli part of the Gulf of Aqaba (http://marineregions.org/mrgid/25384)
ISR,Eilat,Katza2,29.52,34.934444,10,10,none,Industrial port,industrial,9.8 - Coral Reef  ,"Fringing reef, sand areas with coral knolls, and segmented reef patches.  ",These sites are at the same place so they are field replicates although the retrieval times are all different so they are also not replicates,marine benthic biome [ENVO_01000024]; harbor [ENVO:00000463],marine coral reef biome [ENVO:01000049],coral reef [ENVO:00000150],coral reef,Gulf of Aqaba (http://marineregions.org/mrgid/4263),Israeli part of the Gulf of Aqaba (http://marineregions.org/mrgid/25384)
ISR,Eilat,NR1,29.50555,34.920278,10,10,none,LTER site,LHI (Low human influence),9.8 - Coral Reef  ,"Fringing reef, sand areas with coral knolls, and segmented reef patches.  ",These sites are at the same place so they are field replicates although the retrieval times are all different so they are also not replicates,marine benthic biome [ENVO_01000024],marine coral reef biome [ENVO:01000049],coral reef [ENVO:00000150],coral reef with sandy areas,Gulf of Aqaba (http://marineregions.org/mrgid/4263),Israeli part of the Gulf of Aqaba (http://marineregions.org/mrgid/25384)
ISR,Eilat,NR2,29.50555,34.920278,10,10,none,LTER site,LHI (Low human influence),9.8 - Coral Reef  ,"Fringing reef, sand areas with coral knolls, and segmented reef patches.  ",These sites are at the same place so they are field replicates although the retrieval times are all different so they are also not replicates,marine benthic biome [ENVO_01000024],marine coral reef biome [ENVO:01000049],coral reef [ENVO:00000150],coral reef with sandy areas,Gulf of Aqaba (http://marineregions.org/mrgid/4263),Israeli part of the Gulf of Aqaba (http://marineregions.org/mrgid/25384)
NOR,Bodo,GStraB,67.24035,14.711733,2,2,GStra,MPA,protected,9.2 - Subtidal Rock and Rocky Reefs,"The ARMS is deployed in a shallow inlet (2-3 m) with mixed sediments, boulders and rocky bottom called Godøystraumen. Kelp and maerl are the main habitat forming species in the vicinity. The site is located in and MPA established in 2014. GStraB is situated on boulders in the vicinity of narrowing with strong tidal currents. Both ARMS (GStraM and GStraB) are situated within a radius of 50 m.  ",,marine benthic biome [ENVO_01000024]; marine park area [ENVO:00000362],marine subtidal rocky reef biome [ENVO:01000050],boulders [ENVO:01000243],boulders,Vestfjorden (http://marineregions.org/mrgid/18664),Skjærstadfjord (http://marineregions.org/mrgid/63054)
NOR,Bodo,GStraM,67.240217,14.711533,2,2,GStra,MPA,protected,9.2 - Subtidal Rock and Rocky Reefs  ,"The ARMS are deployed in a shallow inlet (2-3 m) with mixed sediments, boulders and rocky bottom called Godøystraumen. Kelp and maerl are the main habitat forming species in the vicinity. The site is located in and MPA established in 2014. The site GStraM is situated on sandy bottom with maerl nodules loosely occurring in the vicinity. Both ARMS (GStraM and GStraB are situated within a radius of 50 m.  ",,marine benthic biome [ENVO_01000024]; marine park area [ENVO:00000362],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118]; silty sediment [ENVO:01000119],sand and maerl nodules,Vestfjorden (http://marineregions.org/mrgid/18664),Skjærstadfjord (http://marineregions.org/mrgid/63054)
NOR,Svalbard,S1,78.21302778,15.23361111,14,14,S,LTER site,LHI (Low human influence),9.3 - Subtidal Loose Rock/Pebble/Gravel  ,"The two arms sites are located in Isfjorden (Spitsbergen), on the southern shore, close to old inactive russian coal mining village Grumantbyen (S2) and river outlet Bjorndalen (S1). Both locations are distant from Longyearbyen harbour and located just beneath large bird cliffs. Characterized by steep slope of rocks and boulders overlying mud. Lager boulders occur at S1 while at S2 there are rocky shelves withs smaller rocks coming down steeply down to e.g. 15 m depth. Kelp forest are present up to 10 m depth. ARMS were located on 14 m depth. Epifauna consisting mostly of barnacles, sedentary polychaetes, sea urchins, and sea stars is abundant and species rich.",,marine benthic biome [ENVO_01000024]; natural environment [ENVO:01000951],marine subtidal rocky reef biome [ENVO:01000050],boulders [ENVO:01000243]; rocky reef [ENVO:00000130],large boulders overlying mud,85G5 (http://marineregions.org/mrgid/42425),
NOR,Svalbard,S2,78.18833333,15.14472222,14,14,S,LTER site,LHI (Low human influence),9.3 - Subtidal Loose Rock/Pebble/Gravel  ,"The two arms sites are located in Isfjorden (Spitsbergen), on the southern shore, close to old inactive russian coal mining village Grumantbyen (S2) and river outlet Bjorndalen (S1). Both locations are distant from Longyearbyen harbour and located just beneath large bird cliffs. Characterized by steep slope of rocks and boulders overlying mud. Lager boulders occur at S1 while at S2 there are rocky shelves withs smaller rocks coming down steeply down to e.g. 15 m depth. Kelp forest are present up to 10 m depth. ARMS were located on 14 m depth. Epifauna consisting mostly of barnacles, sedentary polychaetes, sea urchins, and sea stars is abundant and species rich.",,marine benthic biome [ENVO_01000024]; natural environment [ENVO:01000951],marine subtidal rocky reef biome [ENVO:01000050],rocky reef [ENVO:00000130],"small rocks overlying mud, ",85G5 (http://marineregions.org/mrgid/42425),
POL,Gdynia,GDY1,54.48522,18.57111,4,4,none,LTER site; MPA,LHI (Low human influence),9.3 - Subtidal Loose Rock/Pebble/Gravel  ,Natural stony reefs in the littoral zone (pebbles and boulders on sandy bottom)  ,,marine benthic biome [ENVO_01000024]; marine park area [ENVO:00000362],marine subtidal rocky reef biome [ENVO:01000050],rocky reef [ENVO:00000130],stony reef (pebbles and boulders),Zatoka Pucka (http://marineregions.org/mrgid/29088),
SVN,GulfOfPiran,Fornace,45.5188,13.5673,9,9,none,Research site,semi-industrial,9.5 - Subtidal Sandy-Mud  ,"Location 1 (FO9) is stationed around 50 m off the coast of Fornace (PIran) in the depth of 9 m. This is a transient zone between infralittoral and circalittoral. Botoom is predominantly sandy mud, with coarse organic elements on the surface (sea shells). ", ,marine benthic biome [ENVO_01000024],marine reef biome [ENVO:01000029],sandy sediment [ENVO:01000118],"sandy mud, with coarse organic elements on the surface",Gulf of Piran (http://marineregions.org/mrgid/29864),
SWE,Koster,VH1,58.875155,11.103194,24,24,VH,MPA,protected,9.2 - Subtidal Rock and Rocky Reefs  ,"ARMS are deployed at the outlet of the small bay of Tjärnö Marine Lab at the lower end of the photic zone and close to the drop off into the Koster groove (100 m depth). The habitat is soft sediment mixed with rocky seafloor, covered with dead man’s fingers and brown algae (Fucus).  ",,marine benthic biome [ENVO_01000024]; marine park area [ENVO:00000362],marine subtidal rocky reef biome [ENVO:01000050],sandy sediment [ENVO:01000118]; rocky reef [ENVO:00000130],"soft sediment mixed with rocky seafloor, covered with dead man’s fingers and brown algae (Fucus)",Kosterfjorden-Väderöfjorden (http://marineregions.org/mrgid/28676),
SWE,Koster,VH2,58.87633,11.111884,22,22,VH,MPA,protected,9.2 - Subtidal Rock and Rocky Reefs  ,"ARMS are deployed at the outlet of the small bay of Tjärnö Marine Lab at the lower end of the photic zone and close to the drop off into the Koster groove (100 m depth). The habitat is soft sediment mixed with rocky seafloor, covered with dead man’s fingers and brown algae (Fucus).  ",,marine benthic biome [ENVO_01000024]; marine park area [ENVO:00000362],marine subtidal rocky reef biome [ENVO:01000050],sandy sediment [ENVO:01000118]; rocky reef [ENVO:00000130],"soft sediment mixed with rocky seafloor, covered with dead man’s fingers and brown algae (Fucus)",Kosterfjorden-Väderöfjorden (http://marineregions.org/mrgid/28676),
SWE,Koster,VH3,58.859877,11.080491,25,25,VH,MPA,protected,9.2 - Subtidal Rock and Rocky Reefs  ,"ARMS are deployed at the outlet of the small bay of Tjärnö Marine Lab at the lower end of the photic zone and close to the drop off into the Koster groove (100 m depth). The habitat is soft sediment mixed with rocky seafloor, covered with dead man’s fingers and brown algae (Fucus).  ",,marine benthic biome [ENVO_01000024]; marine park area [ENVO:00000362],marine subtidal rocky reef biome [ENVO:01000050],sandy sediment [ENVO:01000118]; rocky reef [ENVO:00000130],"soft sediment mixed with rocky seafloor, covered with dead man’s fingers and brown algae (Fucus)",Kosterfjorden-Väderöfjorden (http://marineregions.org/mrgid/28676),
